               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10689,            0.037102,                   0,             0.03052,             0.16535,            0.015521,            0.003901,            0.091072,            0.022961,                   0,              0.0739,              0.0029,              0.0029
                   1,            0.086502,            0.039791,                   0,            0.085244,             0.16535,            0.036315,             0.01014,            0.076429,            0.023237,                   0,            0.046822,           0.0058221,           0.0058221
                   2,            0.070677,            0.038324,                   0,              0.2481,             0.26772,             0.14854,            0.046073,             0.07448,            0.020954,                   0,            0.019665,            0.008665,            0.008665
                   3,            0.066024,            0.034798,                   0,              0.2646,             0.31234,             0.22147,            0.062834,            0.069626,            0.021009,                   0,            0.009604,            0.009604,            0.009604
                   4,            0.059714,            0.035172,                   0,             0.38656,              0.4042,             0.31134,            0.099152,            0.057568,            0.025789,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.054893,            0.032252,                   0,             0.40862,             0.46609,             0.37261,             0.16551,            0.053892,            0.018515,                   0,            0.009472,            0.009472,            0.009472
                   6,            0.052165,            0.031949,                   0,             0.57636,             0.50131,             0.54181,             0.20561,            0.049236,            0.019976,                   0,             0.00934,             0.00934,             0.00934
                   7,            0.046118,            0.030397,                   0,             0.54804,             0.56014,             0.56857,              0.2616,            0.047915,            0.018674,                   0,            0.009208,            0.009208,            0.009208
                   8,            0.045805,            0.030307,                   0,             0.62915,             0.57743,              0.6186,              0.2864,            0.046535,            0.018514,                   0,            0.009076,            0.009076,            0.009076
                   9,            0.045066,            0.028802,                   0,             0.58168,             0.58793,             0.60235,             0.28447,            0.046268,            0.018232,                   0,            0.008944,            0.008944,            0.008944
                  10,            0.043717,            0.029369,                   0,             0.64184,             0.60892,             0.64453,             0.29317,            0.044977,            0.017834,                   0,            0.008812,            0.008812,            0.008812
                  11,            0.041314,            0.028292,                   0,             0.69254,             0.58005,             0.64466,             0.31713,            0.040631,            0.019047,                   0,             0.00868,             0.00868,             0.00868
                  12,            0.041277,            0.028459,                   0,             0.74652,             0.62467,             0.70151,             0.33506,             0.03989,            0.016891,                   0,            0.008548,            0.008548,            0.008548
                  13,            0.039556,            0.027455,                   0,             0.69756,             0.60537,             0.67456,             0.32776,            0.042671,            0.016926,                   0,            0.008416,            0.008416,            0.008416
                  14,            0.039454,            0.027952,                   0,             0.70002,             0.65535,             0.70667,             0.34835,            0.038747,             0.01765,                   0,            0.008284,            0.008284,            0.008284
                  15,            0.037807,            0.025413,                   0,             0.71498,             0.66142,             0.73809,             0.39938,            0.037828,            0.016715,                   0,            0.008152,            0.008152,            0.008152
                  16,            0.038727,            0.024208,                   0,             0.73551,             0.61942,             0.70351,             0.36748,            0.039033,            0.017075,                   0,             0.00802,             0.00802,             0.00802
                  17,            0.036616,            0.025676,                   0,             0.79383,             0.63517,             0.74816,             0.42154,             0.03718,            0.016455,                   0,            0.007888,            0.007888,            0.007888
